hex_id,stat,utci_present,utci_2050,utci_2090
1184,typical_day_mean_utci,34.52,38.88,42.29
1145,typical_day_mean_utci,34.83,39.27,42.76
1185,typical_day_mean_utci,34.66,39.07,42.53
1146,typical_day_mean_utci,34.94,39.44,42.99
1186,typical_day_mean_utci,34.83,39.27,42.76
1147,typical_day_mean_utci,34.84,39.28,42.78
1029,typical_day_mean_utci,34.79,39.23,42.72
1068,typical_day_mean_utci,34.9,39.37,42.88
1030,typical_day_mean_utci,34.86,39.33,42.85
1108,typical_day_mean_utci,34.93,39.41,42.94
1069,typical_day_mean_utci,35.07,39.56,43.11
1031,typical_day_mean_utci,34.92,39.38,42.9
1109,typical_day_mean_utci,35.02,39.51,43.05
1070,typical_day_mean_utci,35.13,39.63,43.19
1032,typical_day_mean_utci,35.09,39.61,43.17
1110,typical_day_mean_utci,35.11,39.63,43.2
1187,typical_day_mean_utci,34.23,38.5,41.82
1148,typical_day_mean_utci,34.7,39.1,42.55
1188,typical_day_mean_utci,33.31,37.33,40.38
1149,typical_day_mean_utci,34.56,38.93,42.35
1189,typical_day_mean_utci,33.83,38.02,41.25
1150,typical_day_mean_utci,33.83,38.03,41.27
953,typical_day_mean_utci,33.85,38.05,41.3
992,typical_day_mean_utci,34.54,38.9,42.3
954,typical_day_mean_utci,34.32,38.62,41.97
993,typical_day_mean_utci,35.04,39.55,43.1
1033,typical_day_mean_utci,33.9,37.98,41.11
955,typical_day_mean_utci,35.08,39.6,43.17
994,typical_day_mean_utci,35.01,39.48,43.02
956,typical_day_mean_utci,34.97,39.46,43.0
1034,typical_day_mean_utci,33.78,37.89,41.05
995,typical_day_mean_utci,34.2,38.49,41.82
1071,typical_day_mean_utci,34.79,39.18,42.62
1111,typical_day_mean_utci,34.51,38.82,42.2
1072,typical_day_mean_utci,34.51,38.81,42.16
1112,typical_day_mean_utci,34.14,38.39,41.69
1073,typical_day_mean_utci,33.78,37.93,41.12
1113,typical_day_mean_utci,34.06,38.32,41.61
1074,typical_day_mean_utci,33.7,37.87,41.07
1152,typical_day_mean_utci,33.78,37.97,41.19
1114,typical_day_mean_utci,33.97,38.17,41.43
1075,typical_day_mean_utci,32.59,36.38,39.22
1190,typical_day_mean_utci,33.83,38.04,41.28
1151,typical_day_mean_utci,33.9,38.12,41.37
1191,typical_day_mean_utci,33.83,38.04,41.27
