hex_id,stat,utci_present,utci_2050,utci_2090
4083,typical_day_mean_utci,33.48,34.95,36.2
4190,typical_day_mean_utci,33.61,35.08,36.34
3976,typical_day_mean_utci,33.74,35.21,36.46
4084,typical_day_mean_utci,33.66,35.14,36.38
4191,typical_day_mean_utci,33.84,35.31,36.56
3977,typical_day_mean_utci,33.44,34.91,36.13
4085,typical_day_mean_utci,33.47,34.93,36.17
4192,typical_day_mean_utci,32.09,33.54,34.72
3978,typical_day_mean_utci,32.65,34.1,35.32
4620,typical_day_mean_utci,33.76,35.24,36.49
4728,typical_day_mean_utci,33.59,35.06,36.33
4621,typical_day_mean_utci,33.62,35.09,36.33
4515,typical_day_mean_utci,32.96,34.41,35.6
4729,typical_day_mean_utci,33.59,35.06,36.31
4622,typical_day_mean_utci,33.14,34.6,35.82
4516,typical_day_mean_utci,33.17,34.62,35.84
4730,typical_day_mean_utci,33.67,35.14,36.39
4623,typical_day_mean_utci,32.99,34.44,35.64
4517,typical_day_mean_utci,32.68,34.13,35.33
3658,typical_day_mean_utci,32.45,33.91,35.13
3872,typical_day_mean_utci,33.19,34.66,35.9
3765,typical_day_mean_utci,32.89,34.35,35.57
3659,typical_day_mean_utci,28.9,30.34,31.38
3873,typical_day_mean_utci,33.27,34.73,35.97
3766,typical_day_mean_utci,31.07,32.52,33.64
3660,typical_day_mean_utci,28.26,29.7,30.7
3874,typical_day_mean_utci,33.9,35.36,36.61
3767,typical_day_mean_utci,29.64,31.08,32.14
3661,typical_day_mean_utci,28.26,29.7,30.7
4086,typical_day_mean_utci,32.61,34.06,35.26
4193,typical_day_mean_utci,33.43,34.89,36.13
3979,typical_day_mean_utci,33.63,35.09,36.33
4087,typical_day_mean_utci,32.94,34.39,35.62
3980,typical_day_mean_utci,33.68,35.14,36.4
4194,typical_day_mean_utci,33.48,34.94,36.18
4088,typical_day_mean_utci,32.97,34.42,35.64
3981,typical_day_mean_utci,33.46,34.92,36.15
4195,typical_day_mean_utci,33.03,34.48,35.69
4089,typical_day_mean_utci,33.66,35.12,36.37
4300,typical_day_mean_utci,32.63,34.09,35.29
4514,typical_day_mean_utci,33.62,35.09,36.33
4407,typical_day_mean_utci,32.91,34.36,35.56
4301,typical_day_mean_utci,34.01,35.48,36.74
4408,typical_day_mean_utci,33.37,34.82,36.04
4302,typical_day_mean_utci,33.5,34.96,36.2
4409,typical_day_mean_utci,33.27,34.72,35.96
4303,typical_day_mean_utci,33.24,34.7,35.92
4410,typical_day_mean_utci,33.75,35.21,36.46
4304,typical_day_mean_utci,33.2,34.65,35.88
3761,typical_day_mean_utci,33.67,35.14,36.41
3869,typical_day_mean_utci,33.64,35.12,36.37
3655,typical_day_mean_utci,33.6,35.07,36.33
3762,typical_day_mean_utci,33.31,34.77,36.0
3656,typical_day_mean_utci,33.35,34.82,36.06
3870,typical_day_mean_utci,32.69,34.15,35.36
3763,typical_day_mean_utci,33.56,35.03,36.28
3657,typical_day_mean_utci,32.59,34.05,35.25
3871,typical_day_mean_utci,32.31,33.76,34.96
3764,typical_day_mean_utci,32.2,33.65,34.83
3444,typical_day_mean_utci,28.27,29.7,30.71
3551,typical_day_mean_utci,28.26,29.7,30.71
3337,typical_day_mean_utci,28.27,29.7,30.71
3445,typical_day_mean_utci,28.27,29.7,30.71
3552,typical_day_mean_utci,28.26,29.7,30.71
3446,typical_day_mean_utci,28.27,29.7,30.71
3553,typical_day_mean_utci,28.26,29.7,30.71
3554,typical_day_mean_utci,28.26,29.7,30.71
3555,typical_day_mean_utci,28.26,29.7,30.71
3771,typical_day_mean_utci,29.43,30.87,31.92
3879,typical_day_mean_utci,30.69,32.16,33.29
3665,typical_day_mean_utci,28.27,29.7,30.71
3772,typical_day_mean_utci,28.96,30.4,31.44
3880,typical_day_mean_utci,30.48,31.94,33.06
3666,typical_day_mean_utci,28.27,29.7,30.71
3773,typical_day_mean_utci,28.57,30.01,31.04
3881,typical_day_mean_utci,31.58,33.04,34.19
3667,typical_day_mean_utci,28.27,29.7,30.71
3774,typical_day_mean_utci,28.71,30.15,31.18
3875,typical_day_mean_utci,33.07,34.53,35.75
3768,typical_day_mean_utci,28.47,29.9,30.92
3662,typical_day_mean_utci,28.26,29.7,30.71
3876,typical_day_mean_utci,32.82,34.28,35.47
3769,typical_day_mean_utci,28.51,29.95,30.96
3663,typical_day_mean_utci,28.26,29.7,30.71
3877,typical_day_mean_utci,32.95,34.4,35.62
3770,typical_day_mean_utci,28.72,30.15,31.18
3664,typical_day_mean_utci,28.26,29.7,30.71
3878,typical_day_mean_utci,31.53,32.98,34.13
4731,typical_day_mean_utci,33.01,34.47,35.69
4624,typical_day_mean_utci,32.01,33.46,34.62
4518,typical_day_mean_utci,33.13,34.58,35.81
4732,typical_day_mean_utci,31.76,33.21,34.36
4625,typical_day_mean_utci,32.21,33.67,34.83
4519,typical_day_mean_utci,32.2,33.65,34.8
4733,typical_day_mean_utci,31.26,32.7,33.82
4626,typical_day_mean_utci,31.86,33.3,34.45
4734,typical_day_mean_utci,30.84,32.28,33.38
4520,typical_day_mean_utci,32.73,34.19,35.4
3982,typical_day_mean_utci,33.73,35.19,36.42
4196,typical_day_mean_utci,33.52,35.0,36.25
4090,typical_day_mean_utci,33.5,34.97,36.21
4197,typical_day_mean_utci,33.9,35.38,36.65
3983,typical_day_mean_utci,33.88,35.35,36.61
4091,typical_day_mean_utci,33.63,35.1,36.36
4198,typical_day_mean_utci,34.01,35.49,36.77
3984,typical_day_mean_utci,33.45,34.92,36.18
4092,typical_day_mean_utci,33.27,34.74,35.98
4199,typical_day_mean_utci,33.73,35.21,36.48
4411,typical_day_mean_utci,33.25,34.71,35.93
4305,typical_day_mean_utci,33.5,34.96,36.21
4412,typical_day_mean_utci,33.48,34.95,36.19
4306,typical_day_mean_utci,33.67,35.15,36.4
4413,typical_day_mean_utci,33.39,34.85,36.08
4307,typical_day_mean_utci,33.59,35.05,36.31
4414,typical_day_mean_utci,32.57,34.03,35.24
4308,typical_day_mean_utci,32.81,34.27,35.5
4415,typical_day_mean_utci,31.94,33.4,34.59
4309,typical_day_mean_utci,31.57,33.02,34.18
3985,typical_day_mean_utci,32.24,33.71,34.92
4093,typical_day_mean_utci,32.51,33.98,35.19
3986,typical_day_mean_utci,30.78,32.25,33.39
4200,typical_day_mean_utci,32.59,34.05,35.27
4094,typical_day_mean_utci,32.5,33.96,35.16
3987,typical_day_mean_utci,31.55,33.0,34.16
4201,typical_day_mean_utci,32.78,34.24,35.46
4095,typical_day_mean_utci,33.01,34.47,35.68
4202,typical_day_mean_utci,33.44,34.91,36.16
3988,typical_day_mean_utci,31.87,33.34,34.53
4627,typical_day_mean_utci,30.33,31.78,32.86
4735,typical_day_mean_utci,31.07,32.52,33.66
4521,typical_day_mean_utci,30.21,31.64,32.72
4628,typical_day_mean_utci,30.02,31.47,32.56
4736,typical_day_mean_utci,31.63,33.09,34.26
4522,typical_day_mean_utci,30.2,31.64,32.72
4629,typical_day_mean_utci,32.11,33.57,34.74
4737,typical_day_mean_utci,32.79,34.25,35.45
4523,typical_day_mean_utci,32.81,34.29,35.51
4630,typical_day_mean_utci,32.3,33.76,34.94
4096,typical_day_mean_utci,31.34,32.81,33.98
4203,typical_day_mean_utci,30.81,32.28,33.42
3989,typical_day_mean_utci,31.44,32.89,34.04
4097,typical_day_mean_utci,30.7,32.15,33.27
3990,typical_day_mean_utci,29.89,31.34,32.42
4204,typical_day_mean_utci,29.86,31.3,32.39
4098,typical_day_mean_utci,30.22,31.64,32.72
